
                                    144BBS.TXT
           US BBS's Supporting v.32, v.32bis, v.fc & v.34 CONNECTs

                         Compiled and Distributed by:
                      The DownTown BBS - Los Angeles, CA
                                (213) 484-0260
                  [3/12/24/96/14.4k v.32bis - Public Access]
         9600 v.32/14.4k v.32bis/14.4k HST/16.8 ZyXEL Lines Available

             See 144MDM.LST for Modem abbreviations used below.

  AC/Phone        BBS Name                        City       State  Modem
------------||--------------------------||-----------------||-----||-----|
201-239-0001  MicroSellar BBS             Verona             NJ     VFC
201-313-0002  Tower BBS                   Fairview           NJ     V32
201-669-9857  NJ Intelligence Agency      West Orange        NJ     VFC
201-729-2602  Chuck's Attempt 1           Sparta             NJ     V32
201-729-2606  Chuck's Attempt 2           Sparta             NJ     V32
201-831-8152  The SailBoard BBS           Ringwood           NJ     V32B
201-866-3721  Best Buy BBS                Secaucus           NJ     V32B
201-884-2795  End of the Universe         Whippany           NJ     V32
201-934-0861  Harry's Place               Mahwah             NJ     V32
201-984-5555  Atrium Way                  Morris Plains      NJ     V32
201-989-8323  Eureka                      Dover              NJ     V32
203-228-9578  The Library                 Hebron             CT     V32B
203-235-5908  Meriden Adult BBS           Meriden            CT     V32B
203-250-0938  OPAL Network                Cheshire           CT     V32B
203-250-7899  Equinox                     Cheshire           CT     V32B
203-295-8384  Info-Link                   Marlborough        CT     V32
203-335-7742  The Planet Earth            Bridgeport         CT     V32
203-344-0495  Storm Haven                 Middletown         CT     V32
203-344-1991  K&T's                       Middlefield        CT     V32
203-345-2111  The Big Byte                Higganum           CT     V32
203-438-9908  Orions Nebula               Ridgefield         CT     V32
203-445-2703  Chronicles Info Network     Groton             CT     V32
203-445-6069  Ghandeel's Fortress         Groton             CT     V32
203-483-0348  Fernwood                    Branford           CT     V32
203-523-1987  WGM Computer Consulting     West Hartford      CT     V32
203-531-4289  Angelus ComputerConsultant  Greenwich          CT     V32
203-531-4780  OS-Bullet                   Greenwich          CT     V32
203-535-4284  Bits & Bytes BBS            N. Stonington      CT     V32
203-536-9549  Mystic Software Network     Mystic             CT     V32B
203-582-5462  First Encounter             Bristol            CT     V32
203-666-5685  The Daily Planet            Newington          CT     V32
203-673-6247  Phone Henge                 Unionville         CT     VFC
203-688-0675  The Twilight Zone           Windsor            CT     V32
203-738-0342  HH Info-Net BBS             New Hartford       CT     V32
203-743-4044  The Creative Edge           Danbury            CT     V32
203-749-6103  Death's Domain              Enfield            CT     V32
203-791-8532  Treasure Island             Danbury            CT     V32
203-791-8838  Rocky Road                  Danbury            CT     V32
203-826-5438  Polish-American BBS         New Britain        CT     V32
203-854-9716  T.S.C.                      Norwalk            CT     V32
203-875-7071  The Water Hole BBS          Ellington          CT     V32
203-886-1441  Sea of Noise                Norwich            CT     V32B
203-926-6168  Handicap News BBS           Shelton            CT     V34
203-932-6236  Ascii Neighborhood          West Haven         CT     V32
203-949-0375  Ultimate BBS                Wallingford        CT     V32
203-963-7015  Brain Damaged               Pomfret            CT     V32
205-260-9904  The Com Port                Montgomery         AL     V32B
205-262-3735  The Speed of Light          Montgomery         AL     V32
205-271-3545  The GATEWAY                 Montgomery         AL     V32B
205-277-6502  YABBS                       Montgomery         AL     V32
205-335-3968  The Crenshaw County BBS     .....              AL     VFC
205-435-1480  Alabama-On-Line             Jacksonville       AL     V32
205-452-3897  ProTech                     Chickasaw          AL     V32
205-575-3474  Digital Escape BBS          Monroeville        AL     V32B
205-586-0216  Harvey's                    Arab               AL     V34
205-664-5589  Joker's Castle              Alabaster          AL     V32
205-671-0092  Computer Works              Dothan             AL     V32B
205-744-0134  BatCave BBS                 Pleasant Grove     AL     V32B
205-774-6989  The Out-Post RBBS 1         Ozark              AL     V32B
205-774-7427  The Out-Post RBBS 2         Ozark              AL     V32B
205-822-0956  The DUCK Pond               Hoover             AL     V32
205-852-1100  The Trading Pos             Huntsville         AL     V32
205-871-9668  The Lions Den BBS           Birmingham         AL     V32
205-880-8031  NASAU Beach CBIS            Huntsville         AL     V32
205-881-0889  The Bird's Nest             Huntsville         AL     V32
205-882-6886  Publishers' Paradise BBS    Huntsville         AL     V32B
205-969-0007  Little Kingdom              Birmingham         AL     V32
205-979-0367  The Light                   Birmingham         AL     V32B
206-243-7145  Erotic Nirvana              Seattle            WA     V32
206-253-9770  Pacifier BBS                Vancouver          WA     V32
206-254-5071  Taboo BBS                   Vancouver          WA     V32
206-263-1117  Country Computing           La Center          WA     V32B
206-322-0814  Northwest PC Link           Kent               WA     V32
206-338-3168  Silver Lake Too             Everett            WA     V32
206-338-3723  Silver Lake                 Everett            WA     V32
206-353-6966  ProVision                   Mukilteo           WA     V32
206-367-9131  Pony Express                Seattle            WA     V32B
206-378-6028  Rock Island                 Friday Harbor      WA     V32B
206-391-1425  NW Images BBS               Issaquah           WA     V32
206-391-2330  Real Batchin' Board         Issaquah           WA     V32
206-392-5037  NW Images BBS               Issaquah           WA     V32
206-452-2012  Evergreen Micro Net         Port Angeles       WA     V32
206-464-5222  The Four Horsemen           Seattle            WA     V32B
206-474-6839  Ground Zero BBS             Tacoma             WA     V32B
206-486-2415  Mark's Point! BBS           Seattle            WA     V32
206-526-7143  Westways                    Seattle            WA     V32
206-528-1941  Grey Matter BBS             Seattle            WA     V32B
206-578-1157  Darkstar System             Longview           WA     V32
206-581-0298  Centaur Aisle               Steilacoom         WA     V32B
206-628-0427  The Resource                Bremerton          WA     V32
206-631-6185  The Files Depot             Kent               WA     V32
206-637-2398  Seattle Software Exchange   Bellevue           WA     V32
206-639-0899  MasterPiece MBBS            Kent               WA     V32B
206-641-6767  Pacific Macintosh           Bellevue           WA     V32
206-694-5661  End Times BBS               Vancouver          WA     V32
206-698-1044  The Jimby BBS               Brownsville        WA     V32
206-745-6340  Puget Sound TBBS            Edmonds            WA     V32
206-762-7294  Real Batchin' Board         Seattle            WA     V32
